brand,name,price,rating,ingredients
Lano,Everywhere Multi-Cream - Dry Skin Treatment,"Sale Price
$12.71
Original Price
$16.95",4.5,"Water/Aqua/Eau*, Lanolin*, Cetearyl Alcohol*, Caprylic/Capric Triglyceride*, Glyceryl Stearate*, Butyrospermul Parkii (Shea) Butter*, Prunus Amygdalus Dulcis (Sweet Almond ) Oil*, Vitis Vinifera (Grape) Seed Oil*, Glycerin*, Phenoxyethanol, Sodium Stearoyl Glutamate*, Cetearyl Glucoside*, Cetearyl Olivate*, Sorbitan Olivate*, Carrageenan*, Benzyl Alcohol, Fragrance/Parfum (nat)*, Tocopherol (Vit E)*, Nonfat Dry Milk*, Ascorbic Acid, Glycine Soja (Soybean) Oil*, Citric Acid, Daucus Carota Sativa (Carrot) Root Extract*, Beta-Carotene*, Limonene*, Linalool* *Naturally derived"
Derma E,Anti-Wrinkle Renewal Cream,"Sale Price
$10.46
Original Price
$14.95",4.6,"Purified Water, Carthamus Tinctorius (Safflower) Seed Oil, Stearic Acid (Vegetable Derived), Glycerin (Vegetable Derived), Glyceryl Stearate SE, Cetyl Alcohol (Plant Derived), Microcrystalline Cellulose (Plant Derived), Cellulose Gum (Plant Derived), Persea Gratissima (Avocado) Oil, Sesamum Indicum (Sesame) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Bakuchiol, Retinol, Panthenol (Provitamin B5), Tocopheryl Acetate (Vitamin E), Allantoin, Phenoxyethanol, Ethylhexylglycerin, Natural Fragrance Oils."
Truly,Flower Child Anti-Aging CBD Face Cream,Only at Ulta Beauty,4,NA
Vichy,LiftActiv Peptide-C Anti-Aging Face Moisturizer,Online Only,3.9,"Aqua / Water / Eau, Glycerin, Dimethicone, Isohexadecane, Alcohol Denat., Silica, Hydroxyethylpiperazine Ethane Sulfonic Acid, Propanediol, Synthetic Wax, Peg-10 Dimethicone, Eperua Falcata Bark Extract, Peg-30 Dipolyhydroxystearate, Stearyl Alcohol, Sorbitan Oleate, Dimethicone/Peg-10/15 Crosspolymer, Dimethicone/Polyglycerin-3 Crosspolymer, Ceteareth-6, Sodium Acrylates Copolymer, Sodium Citrate, Sodium Hydroxide, Sodium Phytate, Cyclodextrin, Adenosine, Ascorbyl Glucoside, Nylon-12, Isopropyl Alcohol, Propylene Carbonate, Dipropylene Glycol, Caprylic/Capric Triglyceride, Caprylyl Glycol, Acetyl Tetrapeptide-9, Synthetic Fluorphlogopite, Disteardimonium Hectorite, Dextrin, Pisum Sativum Extract / Pea Extract, Tocopherol, Phenoxyethanol, Ci 15985/ Yellow 6, Ci 77891 / Titanium Dioxide, Parfum / Fragrance. Code F.I.L.: D221614/1."
Cetaphil,Moisturizing Cream,"Sale Price
$12.59
Original Price
$17.99",4.7,
Peach Slices,Snail Rescue All-In-One Oil Free Moisturizer,"Sale Price
$11.89
Original Price
$16.99",4.4,"Snail Secretion Filtrate, Cetyl Ethylhexanoate, 1,2-Hexanediol, Betaine, Water, Centella Asiatica Extract, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate, Hyaluronic Acid, Betula Alba Juice, Fragaria Chiloensis (Strawberry) Fruit Extract, Sodium Carbomer, Propanediol, Sorbitan Olivate, Cetearyl Olivate, Butylene Glycol, Disodium EDTA, Phenoxyethanol."
Clarins,Hydra-Essentiel Silky Cream,"Price
$49.00",4.3,"Aqua/Water/Eau, Caprylic/Capric Triglyceride, Propanediol, Glycerin, Silica, Cetearyl Alcohol, Dipentaerythrityl Tetrahydroxystearate/Tetraisostearate, Glyceryl Stearate, Peg-100 Stearate, Phenoxyethanol, Cetearyl Glucoside, Cetyl Alcohol, Perilla Ocymoides Seed Oil, Stearyl Alcohol, Dimethicone, Xylitylglucoside, Parfum/Fragrance, Polyacrylamide, Anhydroxylitol, C13-14 Isoparaffin, Ethylhexylglycerin, Xylitol, Butylene Glycol, Dimethiconol, Tocopherol, Glyceryl Acrylate/Acrylic Acid Copolymer, Decylene Glycol, Disodium Edta, Laureth-7, Diospyros Mespiliformis Leaf Extract, Glucose, Maltodextrin, Kalanchoe Pinnata Leaf Extract, Sanicula Europaea Extract, Tromethamine, Citric Acid, Lapsana Communis Flower/Leaf/Stem Extract, Furcellaria Lumbricalis Extract, Sodium Benzoate, Potassium Sorbate, Maris Sal/Sea Salt/Sel Marin, Callicarpa Japonica Fruit Extract. [V2922a]

Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging."
ELEMIS,Superfood Cica Calm Hydration Juice,"Price
$48.00",4.6,"Aloe Barbadensis Leaf Juice, Aqua/Water/Eau, PEG-8, Glycerin, Urea, Sodium Polyacrylate, PEG-40 Hydrogenated Castor Oil, Trideceth-9, Alpha-Glucan Oligosaccharide, Phenoxyethanol, Hydroxyacetophenone, Menthyl Ethylamido Oxalate, Actinidia Chinensis (Kiwi) Fruit Extract, Citrus Nobilis (Mandarin Orange) Fruit Extract, Cucumis Sativus (Cucumber) Fruit Extract, Coconut Alkanes, Disodium EDTA, Fragrance (Parfum), Chondrus Crispus (Carrageenan) Extract, Propylene Glycol, Limonene, Citrus Aurantium Dulcis (Orange) Peel Oil, Coco-Caprylate/Caprate, Glyceryl Acrylate/Acrylic Acid Copolymer, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Benzyl Alcohol, Lithothamnion Calcareum Extract, Chlorophyllin-Copper Complex, Helianthus Annuus (Sunflower) Seed Oil, Dehydroacetic Acid, Potassium Sorbate, Rhizobian Gum, Sodium Hyaluronate, Mentha Viridis (Spearmint) Leaf Oil, Sodium Benzoate, Citric Acid, Chlorphenesin, Centella Asiatica (Cica) Extract."
e.l.f. Cosmetics,Daily Hydration Moisturizer,"Sale Price
$5.60
Original Price
$8.00",4,"Water (Aqua), Butylene Glycol, Hydrogenated Polyisobutene, Glycerin, Dimethicone, Simmondsia Chinensis (Jojoba) Seed Oil, Butyrospermum Parkii (Shea Butter), Steareth-21, Steareth-2, Stearic Acid, Cetearyl Alcohol, Glyceryl Stearate, PEG-100 Stearate, Vitis Vinifera (Grape) Seed Oil, Aloe Barbadensis Leaf Extract, Chrysanthellum Indicum Extract, Triethanolamine, Acrylates / C10-30 Alkyl Acrylate Crosspolymer, Tocopheryl Acetate (Ve), Disodium EDTA, Cucumis Sativus (Cucumber) Fruit Extract, Saccharum Officinarum (Sugar Cane) Extract, Vaccinium Myrtillus Fruit / Leaf Extract, Citrus Sinensis (Orange) Fruit Extract, Acer Saccharum (Sugar Maple) Extract, Citrus Limon (Lemon) Fruit Extract Phenoxyethanol, Caprylyl Glycol, Fragrance (Parfum)."
StriVectin,Re-Quench Water Cream Hyaluronic + Electrolyte Moisturizer,"Price
$59.00",4.5,"Aqua/Water/Eau, Dimethicone, Propanediol, Glycerin, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydrolyzed Vegetable Protein, Polymethylsilsesquioxane/Silica Crosspolymer, Fructooligosaccharides, Isosorbide Dicaprylate, Polysilicone-11, Betaine, Myristyl Nicotinate, Beta Vulgaris/Beet Root Extract/Extrait De Racine De Betterave, Nelumbo Nucifera Root Water, Citrus Aurantium Dulcis (Orange) Fruit Water, Leuconostoc Ferment Filtrate, Hydrolyzed Hyaluronic Acid, 1,2-Hexanediol, Trehalose, Hexylene Glycol, Saccharide Isomerate, Cetearyl Olivate, Isononyl Isononanoate, Butylene Glycol, Ethylhexyl Isononanoate, Sorbitan Olivate, Trisodium Ethylenediamine Disuccinate, Sorbitan Isostearate, Decyl Glucoside, Caprylyl Glycol, Magnesium Aspartate, Zinc Gluconate, Copper Gluconate, Polyisobutene, Polysorbate 60, Aloe Barbadensis Leaf Juice Powder, PEG-7 Trimethylolpropane Coconut Ether, Caprylhydroxamic Acid, Potassium Lactate, Lactic Acid, Fragrance/Parfum, Benzyl Benzoate, Limonene, Linalool, Citral, Citronellol, Phenoxyethanol, Citric Acid, Sodium Citrate, CI 17200 (Red 33) (Aka227), CI 42090 (Blue 1) (Ao1) [ILN 30061]."
