brand,name,price,rating,ingredients
Pacifica,Sea & C Bright Luminizing Face Lotion,"Sale Price
$9.80
Original Price
$14.00",3.8,"Water, Cetearyl Alcohol, Prunus Amygdalus Dulcis (Sweet Almond) Oleosomes,Bentonite, Caprylic/Capric Triglyceride, Cetyl Alcohol, Jojoba Esters, Mica, Glycerin, Tetrahexyldecyl Ascorbate (Vitamin C), Xanthan Gum, Acacia Senegal Gum, Citric Acid, Caprylyl Glycol, Ascophyllum Nodosum (Brown Seaweed) Extract, Tocopherol, Hydrolyzed Verbascum Thapsus Flower, Porphyra Umbilicalus (Red Algae) Extract, Sodium Benzoate, Gluconolactone, Phenoxyethanol, Parfum (Natural), Potassium Sorbate, Titanium Dioxide (CI 77891)."
L'Occitane,Immortelle Divine Light Cream SPF 20,Online Only,3.7,"Active: Avobenzone 3%, Homosalate 9%, Octinoxate 7.5%, Octisalate 5%, Octocrylene 9%.
Inactive: Aqua/Water, Glycerin, Oenothera Biennis (Evening Primrose) Oil, Ascorbyl Glucoside, C12-15 Alkyl Benzoate, Dimethicone, Lauroyl Lysine, Cetearyl Alcohol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Glyceryl Stearate, Camelina Sativa Seed Oil, Borago Officinalis Seed Oil, Echium Plantagineum Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Helichrysum Italicum Flower Oil, Myrtus Communis Oil, Bellis Perennis (Daisy) Flower Extract, Helichrysum Italicum Extract, Menyanthes Trifoliata Leaf Extract, Peg-100 Stearate, Sucrose Palmitate, Cetearyl Glucoside, Sodium Citrate, Sodium Hydroxide, Ethylhexylglycerin, Glyceryl Linoleate, Tocopheryl Acetate, Disodium Edta, Sorbitan Isostearate, Polysorbate 60, Tocopherol, Citric Acid, Adenosine, Zinc Gluconate, Magnesium Aspartate, Mel/Honey, Sodium Hyaluronate, Cetyl Palmitate, Copper Gluconate, Phenoxyethanol, Chlorphenesin, Potassium Sorbate, Sodium Benzoate, Parfum/Fragrance, Linalool, Benzyl Salicylate, Limonene, Geraniol, Citral."
StriVectin,Full Screen SPF 30 100% Mineral Vanishing Tint,"Price
$39.00",4.4,"Active: Zinc Oxide 16%
Inactive: Water/Aqua/Eau, Butyloctyl Salicylate, Dimethicone, Glycerin, Diisobutyl Adipate, Glyceryl Stearate, Myristyl Nicotinate, Ethylhexyl Methoxycrylene, Fragrance (Parfum), PEG-100 Stearate, Potassium Cetyl Phosphate, Hydrogenated Palm Glycerides, Cocos Nucifera (Coconut) Oil, VP/Eicosene Copolymer, Triceteareth-4 Phosphate, Glycine Soja (Soybean) Oil, Brassica Campestris (Rapeseed) Seed Oil, Polysilicone-11, Caprylyl Glycol, d-alpha Tocopherol, Argania Spinosa (Argan) Kernel Oil, Bis(Cyano Butylacetate) Anthracenediylidene, Butyrospermum Parkii (Shea) Butter, Elaeis Guineensis (Palm) Butter, Triethoxycaprylylsilane, Phenoxyethanol, Polyglyceryl-3 Diisostearate, Quercus Suber (Cork Oak) Bark Extract, Xanthan Gum, Glycyrrhiza Glabra (Licorice) Root Extract, Hexylene Glycol, Oryza Sativa Extract, Oryza Sativa Germ Extract, Disodium EDTA, Oak Root Extract, Simmondsia Chinensis (Jojoba) Seed Oil, Althaea Officinalis Root Extract, Oryza Sativa (Rice) Bran Extract, Retinyl Palmitate, 7-Dehydrocholesterol, Ascorbyl Palmitate, Bisabolol, Citric Acid, Curcuma Longa Root Extract, Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499)"
YourGoodSkin,SPF 30 Anti-Oxidant Day Cream,"Sale Price
$9.09
Original Price
$12.99",4,"Active: Avobenzone 3%, Octinoxate 0.5%, Octisalate 5%, Octocrylene 7.5%

Inactive: Water/Aqua, C12-15 Alkyl Benzoate, Glycerin, Tribehenin, Alcohol Denat., Dimethicone, Aluminum Starch Octenylsuccinate, Cetearyl Glucoside, Ammonium Acryloldimethyltaurate/VP Copolymer, Potassium Cetyl Phosphate, Phenoxyethanol, Panthenol, Tocopheryl Acetate, Polysorbate 20, Dimethiconol, Caprylyl Glycol, Ascorbyl Glucoside, Xanthan Gum, Sodium Benzoate, Bisabolol, Ethylhexylglycerin, Parfum (Fragrance), Citric Acid, Sphinganine, Tetrasodium EDTA,&Nbsp; Dipropylene Glycol, Potassium Hydroxide, T-Butyl Alcohol, Dimethylmethoxy Chromanol, Silica, Camellia Sinensis Leaf Extract, BHT."
SkinKick,Naturally Smart Blemish Relief Lotion,"Sale Price
$18.20
Original Price
$26.00",5,"Water (Aqua), Salix Nigra (Black Willow) Bark Extract, Cetearyl Olivate, Copaifera Officinalis (Copaiba) Resin, Glycerin, Allantoin, Uncaria Tomentosa (Cat's Claw) Extract, Sorbitan Olivate, Caprylic/Capric Triglyceride, Tamarindus Indica Seed Gum, Dracaena Cambodiana (Dragon's Blood) Leaf Extract, Chondrus Crispus (Carrageenan), Myrciaria Dubia (Camu Camu) Fruit Extract, Crithmum Maritimum Extract, Hydrogenated Vegetable Oil, Carapa Guaianensis (Andiroba) Seed Oil, Tocopherol, Phenoxyethanol, Euterpe Oleracea (Acaí) Fruit Oil, Ethylhexylglycerin, Passiflora Incarnata (Passion Fruit) Seed Oil, Caryocar Brasiliense (Pequi) Fruit Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil."
Origins,Dr. Andrew Weil for Origins Mega-Mushroom Relief & Resilience Hydra Burst Gel Lotion,Online Only,4.4,"Water\Aqua\Eau, Glycerin, Isododecane, Dimethicone, Butylene Glycol, Niacinamide, Stearoxymethicone/Dimethicone Copolymer, Dimethicone/Peg-10/15 Crosspolymer, Citrus Aurantium Dulcis (Orange) Oil**, Lavandula Angustifolia (Lavender) Oil**, Pogostemon Cablin (Patchouli) Oil**, Citrus Nobilis (Mandarin Orange) Peel Oil**, Pelargonium Graveolens Flower Oil**, Boswellia Carterii (Olibanum) Oil***, Limonene, Linalool, Citronellol, Geraniol, Ganoderma Lucidum (Reishi Mushroom) Extract, Fuscoporia Obliqua Sclerotium Extract, Cordyceps Sinensis (Mushroom) Extract, Ergothioneine, Lactobacillus Ferment, Hippophae Rhamnoides Extract*, Zingiber Officinale (Ginger) Root Extract*, Curcuma Longa (Turmeric) Root Extract*, Ocimum Sanctum (Holy Basil) Leaf Extract, Silybum Marianum Fruit Extract, Hypnea Musciformis (Algae) Extract, Caffeine, Sodium Chloride, Sucrose*, Hordeum Vulgare (Barley) Extract\Extrait D'orge, Saccharomyces Ferment Filtrate, Triticum Vulgare (Wheat) Germ Extract, Gelidiella Acerosa Extract, Zinc Pca, Polysorbate 20, Laminaria Saccharina Extract, Ethylhexylglycerin, Squalane, Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone, Tocopheryl Acetate, Maltodextrin, Citric Acid, Bht, Potassium Sorbate, Phenoxyethanol.

*Organic Sea Buckthorn Extract, Organic Ginger Extract, Organic Turmeric Extract, Organic Sucrose (Brown Sugar)
**Organic Essential Oils: Organic Orange Oil, Organic Mandarin Oil, Organic Patchouli Oil, Organic Geranium Oil, Organic Lavender Oil
***Essential Oil

Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients."
Fifth & Root,Second Nature Calming Facial Moisturizer,"Price
$48.00",4.7,"Aloe Barbadensis Leaf Juice, Cannabis Sativa Root Water, Helianthus Annuus (Sunflower) Seed Oil, Squalane, Butyrospermum Parkii (Shea) Butter, Cetearyl Alcohol, Cetearyl Glucoside, Sclerocarya Birrea (Marula) Kernel Oil, Tetradecane, Avena Sativa (Oat) Kernel Oil, Cetearyl Olivate, Sorbitan Olivate, Cannabis Sativa (Hemp) Seed Oil*, Glycerin, Propanediol, Punica Granatum Extract, Citrus Aurantium Dulcis (Orange) Flower Extract, Cannabis Sativa Flower/Leaf/Stem (Full Spectrum Hemp) Extract, Gluconolactone, Tephrosia Purpurea Seed (Wild Indigo) Extract, Calendula Officinalis Flower Extract*, Rhodiola Rosea (Roseroot) Extract, Withania Somnifera (Ashwaghanda)*, Passiflora Incarnata (Passionflower)*, Diheptyl Succinate, Capryloyl Glycerin/Sebacic Acid Copolymer, Myrica Pubescens (Laurel) Fruit Wax, Sodium Benzoate, Sodium Gluconate, Mica, Titanium Dioxide, Hydrolyzed Sodium Hyaluronate, Lysolecithin, Sclerotium Gum, Xanthan Gum, Pullulan, Citric Acid, Aroma**. *Certified organic **Therapeutic grade essential oil and terpene blend."
Clarins,Hydra-Essentiel Cooling Gel,"Price
$49.00",3.9,"Aqua/Water/Eau, Glycerin, Butylene Glycol, Propanediol, Polymethyl, Methacrylate, Sodium Polyacrylate Starch, Ammonium Acryloyldimethyltaurate/Vpcopolymer, Xylitylglucoside, Phenoxyethanol, Anhydroxylitol, Ethylhexylglycerin, Parfum/Fragrance, Xylitol, Pyridoxine Hcl, Disodium Edta, Decylene Glycol, Diospyros Mespiliformis Leaf Extract, Glucose, Maltodextrin, Kalanchoe Pinnata Leaf Extract, Zinc Gluconate, Sanicula Europaea Extract, Citric Acid, Alcohol, Lapsana Communis Flower/Leaf/Stem Extract, Furcellaria Lumbricalis Extract, Sodium Benzoate, Tris (Tetramethylhydroxypiperidinol) Citrate, Potassium Sorbate, Ci 42090/Blue 1, Maris Sal/Seasalt/Sel Marin, Callicarpa Japonica Fruit Extract. [V2898a]

Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging."
Milk + Honey,Intense Hydration Cream,Online Only,5,"Organic Aloe barbadensis (Aloe) Leaf Juice, Organic Argania spinosa (Argan) Kernel Oil, Cetearyl olivate, Sorbitan olivate, Glyceryl Stearate, Cetearyl Alcohol, Sodium Stearoyl Lactylate, Organic Adansonia digitata (Baobab) Seed Oil, Phenethyl Alcohol, Pentylene Glycol, Propanediol, Water, Cassia Angustifolia Seed Polysaccharide*, Organic Vegetable Glycerin, Daucus carota sativa (Carrot) Seed Oil, Organic Butyrospermum parkii (Shea) Fruit Butter, Organic Lavandula x intermedia (Lavender) Oil, Organic Sweet Citrus sinensis (Orange) Peel Oil, Organic Citrus aurantifolia (Lime) Peel Oil, Organic Citrus reticulata (Tangerine) Oil, Organic Mangifera indica (Mango) Seed Butter, Methylsulfonylmethane, Helianthus Annuus (Sunflower) Seed Oil, Malus domestica (Apple) Fruit Stem Cell Extract, Argania spinosa (Argan) Sprout Stem Cell Extract, Sodium Lactate, Persea Gratissima (Avocado) Fruit Extract, Maltodextrin, Sclerotium Gum, Cetyl Alcohol, Potassium Sorbate, Tocotrienols (Vitamin E).*Plant derived hyaluronic acid."
ARCONA,Magic Dry Ice,Online Only,NA,"Aqua (Water), Caprylic/Capric Triglyceride (Plant Source), Glycerin, Cetearyl Olivate, Saccharomyces/Xylinum/Black Tea Ferment (Kombuchka ), Isodecyl Neopentanoate, Ethoxydiglycol/Hydroxycinnamic Acid (Lipobrite HCA), Sorbitan Olivate, Squalane, Cassia Alata Leaf Extract (DN-AGE), Pancratium Maritimum Extract (Clari-NET), Melaleuca Alternifolia (Tea Tree) Leaf Oil, Humulus Lupulus (Hops) Extract, Rubus Idaeus (Raspberry) Seed Oil, Diacetyl- Boldine (Lumiskin), Tocopherol (D-alpha), Aloe Barbadensis Leaf Juice Powder*, Helianthus Annuus (Sunflower) Seed Oil, Lonicera Caprifolium (Honeysuckle) Flower Extract, Lonicera Japonica (Honeysuckle) Flower Extract, Caprylyl Glycol (Plant Source), Acacia Gum, Hydroxyethylcellulose, Sodium Benzoate, Phytic Acid, Benzyl Alcohol, Potassium Sorbate, Sorbic Acid.

* Denotes Organically Sourced."
